elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
3701,ΠΑΤΡΕΩΝ,211593,213984,102057,104307,109536,109677
3702,ΑΙΓΙΑΛΕΙΑΣ,47225,49872,23072,24532,24153,25340
3703,ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,25900,25916,13746,13653,12154,12263
3704,ΕΡΥΜΑΝΘΟΥ,8273,8877,4420,4667,3853,4210
3705,ΚΑΛΑΒΡΥΤΩΝ,9281,11045,4844,5712,4437,5333
4801,ΚΑΛΛΙΘΕΑΣ,96118,100641,44493,46782,51625,53859
4802,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747,71294,34466,34668,37281,36626
4803,ΑΛΙΜΟΥ,42872,41720,20259,19663,22613,22057
4804,ΓΛΥΦΑΔΑΣ,89605,87305,42104,41135,47501,46170
4805,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,49722,51356,23519,24604,26203,26752
4806,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,39507,40413,18953,19440,20554,20973
4807,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546,73076,33332,33607,39214,39469
4808,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,64879,64021,29863,29429,35016,34592
3301,ΖΑΚΥΝΘΟΥ,40508,40759,20217,20274,20291,20485
3001,ΚΑΡΠΕΝΗΣΙΟΥ,11477,13105,5762,6571,5715,6534
3002,ΑΓΡΑΦΩΝ,5984,6976,3185,3620,2799,3356
2701,ΛΑΜΙΕΩΝ,66472,75315,32268,37417,34204,37898
2702,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,8381,10922,4174,5504,4207,5418
2703,ΔΟΜΟΚΟΥ,9178,11495,4890,5919,4288,5576
2705,ΛΟΚΡΩΝ,17854,19623,8769,9753,9085,9870
2706,ΜΑΚΡΑΚΩΜΗΣ,13553,16036,6907,8030,6646,8006
2704,ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ,10901,12090,5281,5944,5620,6146
2707,ΣΤΥΛΙΔΟΣ,11417,12750,5679,6426,5738,6324
3901,ΠΥΡΓΟΥ,44482,47995,21913,23622,22569,24373
3906,ΗΛΙΔΑΣ,29409,32219,14645,16285,14764,15934
3902,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,22615,21581,13281,11558,9334,10023
3903,ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ,11273,14109,6152,7387,5121,6722
3904,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,11307,13409,5786,6821,5521,6588
3905,ΖΑΧΑΡΩΣ,8606,8953,4413,4547,4193,4406
3907,ΠΗΝΕΙΟΥ,21658,21034,11961,10796,9697,10238
5201,ΣΑΛΑΜΙΝΟΣ,37175,39283,18116,19638,19059,19645
5208,ΥΔΡΑΣ,2011,1966,992,977,1019,989
5202,ΑΓΚΙΣΤΡΙΟΥ,1107,1142,555,580,552,562
5203,ΑΙΓΙΝΑΣ,12938,13056,6249,6456,6689,6600
5204,ΚΥΘΗΡΩΝ,3659,4041,1868,2055,1791,1986
5205,ΠΟΡΟΥ,3237,3993,1571,2180,1666,1813
5206,ΣΠΕΤΣΩΝ,3680,4027,1778,1969,1902,2058
5207,ΤΡΟΙΖΗΝΙΑΣ - ΜΕΘΑΝΩΝ,6118,7143,3001,3631,3117,3512
7201,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,26937,27074,13208,13372,13729,13702
7202,ΙΕΡΑΠΕΤΡΑΣ,26410,26200,13779,13098,12631,13102
7203,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,2285,2387,1141,1184,1144,1203
7204,ΣΗΤΕΙΑΣ,20268,19720,10003,9695,10265,10025
1001,ΕΔΕΣΣΑΣ,26336,28814,12860,14183,13476,14631
1002,ΑΛΜΩΠΙΑΣ,24924,27556,12339,13742,12585,13814
1003,ΠΕΛΛΑΣ,56918,63122,27815,31183,29103,31939
1004,ΣΚΥΔΡΑΣ,18080,20188,8853,9974,9227,10214
6301,ΚΕΑΣ,2394,2455,1216,1254,1178,1201
6302,ΚΥΘΝΟΥ,1492,1456,773,771,719,685
0801,ΒΕΡΟΙΑΣ,62064,66547,29876,32517,32188,34030
0802,ΑΛΕΞΑΝΔΡΕΙΑΣ,38293,41570,18883,20760,19410,20810
0803,ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ,29669,32494,14456,16144,15213,16350
