code,name
0101,ΚΟΜΟΤΗΝΗΣ
0102,ΑΡΡΙΑΝΩΝ
0103,ΙΑΣΜΟΥ
0104,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ
0201,ΔΡΑΜΑΣ
0202,ΔΟΞΑΤΟΥ
0203,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
0204,ΠΑΡΑΝΕΣΤΙΟΥ
0205,ΠΡΟΣΟΤΣΑΝΗΣ
0301,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
0302,ΔΙΔΥΜΟΤΕΙΧΟΥ
0303,ΟΡΕΣΤΙΑΔΑΣ
0304,ΣΑΜΟΘΡΑΚΗΣ
0305,ΣΟΥΦΛΙΟΥ
0401,ΘΑΣΟΥ
0501,ΚΑΒΑΛΑΣ
0502,ΝΕΣΤΟΥ
0503,ΠΑΓΓΑΙΟΥ
0601,ΞΑΝΘΗΣ
0602,ΑΒΔΗΡΩΝ
0603,ΜΥΚΗΣ
0604,ΤΟΠΕΙΡΟΥ
0701,ΘΕΣΣΑΛΟΝΙΚΗΣ
0702,ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ
0703,ΒΟΛΒΗΣ
0704,ΔΕΛΤΑ
0705,ΘΕΡΜΑΪΚΟΥ
0706,ΘΕΡΜΗΣ
0707,ΚΑΛΑΜΑΡΙΑΣ
0708,ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ
0709,ΛΑΓΚΑΔΑ
0710,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ
0711,ΠΑΥΛΟΥ ΜΕΛΑ
0712,ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ
0713,ΧΑΛΚΗΔΟΝΟΣ
0714,ΩΡΑΙΟΚΑΣΤΡΟΥ
0801,ΒΕΡΟΙΑΣ
0802,ΑΛΕΞΑΝΔΡΕΙΑΣ
0803,ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ
0901,ΚΙΛΚΙΣ
0902,ΠΑΙΟΝΙΑΣ
1001,ΕΔΕΣΣΑΣ
1002,ΑΛΜΩΠΙΑΣ
1003,ΠΕΛΛΑΣ
1004,ΣΚΥΔΡΑΣ
1101,ΚΑΤΕΡΙΝΗΣ
1102,ΔΙΟΥ - ΟΛΥΜΠΟΥ
1103,ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ
1201,ΣΕΡΡΩΝ
1202,ΑΜΦΙΠΟΛΗΣ
1203,ΒΙΣΑΛΤΙΑΣ
1204,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ
1205,ΗΡΑΚΛΕΙΑΣ
1206,ΝΕΑΣ ΖΙΧΝΗΣ
1207,ΣΙΝΤΙΚΗΣ
1301,ΠΟΛΥΓΥΡΟΥ
1302,ΑΡΙΣΤΟΤΕΛΗ
1303,ΚΑΣΣΑΝΔΡΑΣ
1304,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
1305,ΣΙΘΩΝΙΑΣ
1401,ΚΟΖΑΝΗΣ
1402,ΒΕΛΒΕΝΤΟΥ
1403,ΒΟΪΟΥ
1404,ΕΟΡΔΑΙΑΣ
1405,ΣΕΡΒΙΩΝ
1501,ΓΡΕΒΕΝΩΝ
1502,ΔΕΣΚΑΤΗΣ
1601,ΚΑΣΤΟΡΙΑΣ
1602,ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ
1603,ΝΕΣΤΟΡΙΟΥ
1701,ΦΛΩΡΙΝΑΣ
1702,ΑΜΥΝΤΑΙΟΥ
1703,ΠΡΕΣΠΩΝ
1801,ΙΩΑΝΝΙΤΩΝ
1802,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ
1803,ΔΩΔΩΝΗΣ
1804,ΖΑΓΟΡΙΟΥ
1805,ΖΙΤΣΑΣ
1806,ΚΟΝΙΤΣΑΣ
1807,ΜΕΤΣΟΒΟΥ
1808,ΠΩΓΩΝΙΟΥ
1901,ΑΡΤΑΙΩΝ
1902,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ
1903,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ
1904,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
2001,ΗΓΟΥΜΕΝΙΤΣΑΣ
2002,ΣΟΥΛΙΟΥ
2003,ΦΙΛΙΑΤΩΝ
2101,ΠΡΕΒΕΖΑΣ
2102,ΖΗΡΟΥ
2103,ΠΑΡΓΑΣ
2201,ΛΑΡΙΣΑΙΩΝ
2202,ΑΓΙΑΣ
2203,ΕΛΑΣΣΟΝΑΣ
2204,ΚΙΛΕΛΕΡ
2205,ΤΕΜΠΩΝ
2206,ΤΥΡΝΑΒΟΥ
2207,ΦΑΡΣΑΛΩΝ
2301,ΚΑΡΔΙΤΣΑΣ
2302,ΑΡΓΙΘΕΑΣ
2303,ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ
2304,ΜΟΥΖΑΚΙΟΥ
2305,ΠΑΛΑΜΑ
2306,ΣΟΦΑΔΩΝ
2401,ΒΟΛΟΥ
2402,ΑΛΜΥΡΟΥ
2403,ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ
2404,ΝΟΤΙΟΥ ΠΗΛΙΟΥ
2405,ΡΗΓΑ ΦΕΡΑΙΟΥ
2501,ΣΚΙΑΘΟΥ
2502,ΑΛΟΝΝΗΣΟΥ
2503,ΣΚΟΠΕΛΟΥ
2601,ΤΡΙΚΚΑΙΩΝ
2602,ΜΕΤΕΩΡΩΝ
2603,ΠΥΛΗΣ
2604,ΦΑΡΚΑΔΟΝΑΣ
2701,ΛΑΜΙΕΩΝ
2702,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ
2703,ΔΟΜΟΚΟΥ
2704,ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ
2705,ΛΟΚΡΩΝ
2706,ΜΑΚΡΑΚΩΜΗΣ
2707,ΣΤΥΛΙΔΟΣ
2801,ΛΕΒΑΔΕΩΝ
2802,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ
2803,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ
